chr;x0;x1;y1
chr7;43050567.1;57400755.8;1.37413070329931
chr7;57400755.8;71750944.5;6.06816992503591
chr7;71750944.5;86101133.2;5.98506194972433
chr7;86101133.2;100451321.9;7.35837660706602
chr7;100451321.9;114801510.6;5.52422551147174
chr7;114801510.6;129151699.3;0.854562747082673
chr7;129151699.3;143501888;6.72557424211409
chr8;1;13245739.9;0.424636552389711
chr8;13245739.9;26491478.8;3.39111504417378
chr8;26491478.8;39737217.7;6.45165951512754
chr8;39737217.7;52982956.6;5.85694367426913
chr8;52982956.6;66228695.5;5.12531486658845
chr8;66228695.5;79474434.4;5.08984640410636
chr8;79474434.4;92720173.3;8.55949472417124
chr8;92720173.3;105965912.2;2.34993408140726
chr8;105965912.2;119211651.1;7.92258953964338
chr8;119211651.1;132457390;2.757803706103
chr9;1;12154960.1;0.0269471051171422
chr9;12154960.1;24309919.2;0.450768089597113
chr9;24309919.2;36464878.3;8.22364796893671
chr9;36464878.3;48619837.4;1.00110496748239
chr9;48619837.4;60774796.5;6.04296655626968
chr9;60774796.5;72929755.6;1.99469089410268
chr9;72929755.6;85084714.7;5.41887440392748
chr9;85084714.7;97239673.8;3.17880917899311
chr9;97239673.8;109394632.9;2.85285575219896
chr9;109394632.9;121549592;0.309911223733798
chr10;1;11220051;8.62856459263712
chr10;11220051;22440101;2.09526606230065
chr10;22440101;33660151;5.14888792599086
chr10;33660151;44880201;3.99436392418575
chr10;44880201;56100251;5.82409532130696
chr10;56100251;67320301;4.21015669084154
chr10;67320301;78540351;6.88042661387008
chr10;78540351;89760401;0.912827350012958
chr10;89760401;100980451;4.8903218660038
chr10;100980451;112200501;4.46845205014106
chr11;1;9351807.9;4.66063401591964
chr11;9351807.9;18703614.8;4.00536136091687
chr11;18703614.8;28055421.7;5.3732507643057
chr11;28055421.7;37407228.6;2.87128433987964
chr11;37407228.6;46759035.5;8.45590605963953
chr11;46759035.5;56110842.4;7.67736285268329
chr11;56110842.4;65462649.3;7.72527121680323
chr11;65462649.3;74814456.2;7.59699450088665
chr11;74814456.2;84166263.1;3.52392261279747
chr11;84166263.1;93518070;6.68786892474163
chr12;1;5445080.6;4.68095969608985
chr12;5445080.6;10890160.2;7.72298168346751
chr12;10890160.2;16335239.8;5.29226003063377
chr12;16335239.8;21780319.4;4.46523028900847
chr12;21780319.4;27225399;5.4876278715441
chr12;27225399;32670478.6;3.3032789444318
chr12;32670478.6;38115558.2;4.52519467421807
chr12;38115558.2;43560637.8;0.931264799810015
chr12;43560637.8;49005717.4;5.952283035242
chr12;49005717.4;54450797;5.62384661966935
chr13;1;11871804.1;3.23913792581297
chr13;11871804.1;23743607.2;3.65801755422726
chr13;23743607.2;35615410.3;3.84351913109422
chr13;35615410.3;47487213.4;0.568417300865986
chr13;47487213.4;59359016.5;6.51362074480858
chr13;59359016.5;71230819.6;7.37343472831417
chr13;71230819.6;83102622.7;6.22840715772472
chr13;83102622.7;94974425.8;3.32085725103971
chr13;94974425.8;106846228.9;6.84562113492284
chr13;106846228.9;118718032;4.80258344197646
chr14;1;11515171.1;3.34623046049383
chr14;11515171.1;23030341.2;1.35998212283012
chr14;23030341.2;34545511.3;1.15534309430514
chr14;34545511.3;46060681.4;1.78903288627043
chr14;46060681.4;57575851.5;3.05308111861814
chr14;57575851.5;69091021.6;5.17061398057267
chr14;69091021.6;80606191.7;1.7290750863729
chr14;80606191.7;92121361.8;8.64092344490346
chr14;92121361.8;103636531.9;4.18215050306171
chr14;103636531.9;115151702;7.11698647511657
chr15;1;11462715;4.28715710418765
chr15;11462715;22925429;5.95666526367422
chr15;22925429;34388143;0.326454633660614
chr15;34388143;45850857;3.36078407918103
chr15;45850857;57313571;3.17215905699413
chr15;57313571;68776285;2.16214923241641
chr15;68776285;80238999;7.50924828832503
chr15;80238999;91701713;7.4882512425771
chr15;91701713;103164427;5.96434934854042
chr15;103164427;114627141;5.91027010744438
chr16;1;9005199.3;4.5759041659534
chr16;9005199.3;18010397.6;2.54766446531285
chr16;18010397.6;27015595.9;4.92589357264806
chr16;27015595.9;36020794.2;6.43517445337493
chr16;36020794.2;45025992.5;3.36716493058484
chr16;45025992.5;54031190.8;4.20496951485984
chr16;54031190.8;63036389.1;1.0953188133426
chr16;63036389.1;72041587.4;5.9122384776827
chr16;72041587.4;81046785.7;0.584291490353644
chr16;81046785.7;90051984;8.52373246278148
chr17;1;9250352.1;5.32419206709601
chr17;9250352.1;18500703.2;2.14197931888048
chr17;18500703.2;27751054.3;1.87879372425377
chr17;27751054.3;37001405.4;7.85157816277351
chr17;37001405.4;46251756.5;0.42753032608889
chr17;46251756.5;55502107.6;2.60989639163017
chr17;55502107.6;64752458.7;6.82628317053895
chr17;64752458.7;74002809.8;2.00762254090514
chr17;74002809.8;83253160.9;6.41093749080319
chr17;83253160.9;92503512;2.11459306804463
chr18;1;8722987.3;0.00524920877069235
chr18;8722987.3;17445973.6;7.73759140998591
chr18;17445973.6;26168959.9;0.137843274325132
chr18;26168959.9;34891946.2;8.16779693453573
chr18;34891946.2;43614932.5;7.08057868299074
chr18;43614932.5;52337918.8;1.26557462301571
chr18;52337918.8;61060905.1;7.35404639875051
chr18;61060905.1;69783891.4;7.60309968071524
chr18;69783891.4;78506877.7;6.61941340654157
chr18;78506877.7;87229864;8.19286586043891
chr19;1;7291459.7;6.69078010262456
chr19;7291459.7;14582918.4;6.72978338480461
chr19;14582918.4;21874377.1;6.87757245129906
chr19;21874377.1;29165835.8;0.591613555233926
chr19;29165835.8;36457294.5;4.64305284102447
chr19;36457294.5;43748753.2;1.30701010138728
chr19;43748753.2;51040211.9;5.34716530402657
chr19;51040211.9;58331670.6;7.7065542609198
chr19;58331670.6;65623129.3;2.98074736206327
chr19;65623129.3;72914588;7.11512207218912
chr20;1;5779189.2;4.85063746485394
chr20;5779189.2;11558377.4;5.66090044488665
chr20;11558377.4;17337565.6;0.841078280447982
chr20;17337565.6;23116753.8;0.0295765345450491
chr20;23116753.8;28895942;7.25709767339285
chr20;28895942;34675130.2;0.113007747195661
chr20;34675130.2;40454318.4;3.69738012382295
chr20;40454318.4;46233506.6;7.73806577932555
chr20;46233506.6;52012694.8;5.98155457929242
chr20;52012694.8;57791883;7.70677712643519
chrX;1;15459755.5;8.53212278033607
chrX;15459755.5;30919510;1.07979867502581
chrX;30919510;46379264.5;0.582992636295967
chrX;46379264.5;61839019;7.05919231383596
chrX;61839019;77298773.5;7.15990598425269
chrX;77298773.5;92758528;1.49314576420002
chrX;92758528;108218282.5;2.14698487515561
chrX;108218282.5;123678037;3.8301889463095
chrX;123678037;139137791.5;3.62025365775917
chrX;139137791.5;154597546;6.36011042562313
